branch_name,local_exists,remote_exists,pr_number,pr_status,checks_status,last_commit,relative_age,commit_hash,subject,pr_url,checks_url
ci/coverage-badge-069,Y,N,,,,2025-10-26 20:12:21 -0700,2 days ago,c37ca3f1,ci(069): render coverage badge as exact percentage (two decimals),,
ci/coverage-nightly-055,Y,N,,,,2025-10-26 18:14:43 -0700,2 days ago,0f989e2e,ci: add PR triggers to coverage-nightly workflow,,
ci/formatter-harmonization-066,Y,N,,,,2025-10-26 19:15:59 -0700,2 days ago,6d7fd3a7,ci(066): standardize on ruff-format; pin config; add fmt/lint targets; echo vers...,,
ci/graph-nightly-063,Y,N,,,,2025-10-26 19:59:08 -0700,2 days ago,1a21765f,fix(ci/063): correct YAML indentation and remove CI-generated files from manifes...,,
ci/lint-nightly-and-targets-054,Y,N,,,,2025-10-26 18:08:01 -0700,2 days ago,86d9cf4e,ci: nightly ruff sweep (non-blocking) + Make targets (054),,
ci/make-dupe-guard-024b,Y,N,,,,2025-10-26 15:30:57 -0700,2 days ago,7f49cccd,ci(024b): no-op comment above targets.check.dupes to ensure PR diff,,
ci/metrics-badges-059,Y,N,,,,2025-10-26 18:45:59 -0700,2 days ago,42c1c372,ci(059): fix PYTHONPATH for verify job imports,,
ci/nightly-metrics-history-057,Y,N,,,,2025-10-26 18:35:07 -0700,2 days ago,c70a4132,ci(057): fix coverage XML parsing when file missing,,
ci/nightly-mypy-and-targets-053,Y,N,,,,2025-10-26 18:02:41 -0700,2 days ago,d367032b,ci(053): add nightly full-repo mypy sweep (non-blocking) + Make targets,,
ci/nightly-soft-thresholds-058,Y,N,,,,2025-10-26 18:38:07 -0700,2 days ago,2f1291f7,"ci(058): add soft warning thresholds to nightly metrics (non-blocking, repo vars...",,
ci/pin-toolchain-070,Y,N,,,,2025-10-27 13:18:35 -0700,29 hours ago,925b8b32,ci: trigger workflow rerun after jsonschema fix,,
ci/pr-diff-scoping-and-secrets-052,Y,N,,,,2025-10-26 17:59:12 -0700,2 days ago,3823a83a,ci(052): robust PR-diff scoping; skip enforcement on forks; guard secret-depende...,,
